"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     
          0,           0,         301,      -13.56679743,      -12.93940536,      -13.54814428
          0,           0,         302,      -13.60225908,      -12.97391911,      -13.57672316
          0,           0,         303,      -13.63168565,      -13.00656584,      -13.62057579
          0,           0,         304,      -13.66016371,      -13.03847054,      -13.67087038
          0,           0,         305,      -13.68678146,      -13.06957592,       -13.7161223
          0,           0,         306,      -13.70509885,      -13.09775351,      -13.75354882
          0,           0,         307,      -13.71112026,      -13.12042286,      -13.78629874
          0,           0,         308,      -13.71239677,      -13.13825453,      -13.82098056
          0,           0,         309,      -13.71755139,      -13.15399453,      -13.85855748
          0,           0,         310,      -13.72848059,      -13.17099673,      -13.88933268
          0,           0,         311,      -13.73969293,      -13.18997888,      -13.91296462
          0,           0,         312,      -13.74337865,      -13.20747934,      -13.94289755
          0,           0,         313,      -13.73912964,      -13.21986101,      -13.98200776
          0,           0,         314,      -13.73525582,      -13.22780223,      -14.02070671
          0,           0,         315,      -13.73817766,      -13.23502341,      -14.04573021
          0,           0,         316,      -13.74823465,      -13.24533307,      -14.04888915
          0,           0,         317,      -13.76019055,      -13.25941779,      -14.04665394
          0,           0,         318,      -13.76729747,      -13.27396867,      -14.06367376
          0,           0,         319,      -13.76864776,      -13.28522459,      -14.10236631
          0,           0,         320,      -13.77047884,      -13.29316526,      -14.14252569
          0,           0,         321,      -13.77837732,      -13.30100491,       -14.1579964
          0,           0,         322,      -13.79299121,      -13.31229869,      -14.14283344
          0,           0,         323,      -13.80992864,      -13.32788716,       -14.1258241
          0,           0,         324,      -13.82288925,      -13.34486549,      -14.13609876
          0,           0,         325,      -13.83003421,      -13.35933037,      -14.17639713
          0,           0,         326,      -13.83658603,      -13.37054498,        -14.223749
          0,           0,         327,      -13.84820744,       -13.3811776,      -14.24581812
          0,           0,         328,      -13.86607528,      -13.39465804,      -14.23292932
          0,           0,         329,       -13.8864216,      -13.41211766,      -14.21500915
          0,           0,         330,      -13.90335553,      -13.43112329,      -14.22280156
          0,           0,         331,      -13.91524838,      -13.44825184,      -14.25884976
          0,           0,         332,      -13.92705485,      -13.46293753,      -14.29982829
          0,           0,         333,      -13.94377265,       -13.4775996,      -14.31650357
          0,           0,         334,       -13.9658742,      -13.49513662,      -14.30596693
          0,           0,         335,      -13.98901425,      -13.51599029,      -14.29833173
          0,           0,         336,      -14.00774937,      -13.53743043,      -14.31817605
          0,           0,         337,      -14.02223463,      -13.55663436,      -14.36149207
          0,           0,         338,      -14.03809707,      -13.57382167,      -14.40163273
          0,           0,         339,      -14.05910964,      -13.59148284,      -14.41356586
          0,           0,         340,      -14.08465058,      -13.61209102,      -14.40283576
          0,           0,         341,      -14.11036875,      -13.63569623,      -14.39937408
          0,           0,         342,      -14.13185073,      -13.65976417,      -14.42244013
          0,           0,         343,      -14.14988556,      -13.68195763,      -14.46622473
          0,           0,         344,      -14.16916931,      -13.70235984,      -14.50777571
          0,           0,         345,      -14.19249092,      -13.72282826,       -14.5269351
          0,           0,         346,      -14.21942811,      -13.74537566,      -14.52611991
          0,           0,         347,      -14.24716177,      -13.77046484,      -14.52642942
          0,           0,         348,      -14.27257345,      -13.79667468,      -14.54441327
          0,           0,         349,      -14.29520583,      -13.82213178,      -14.58048231
          0,           0,         350,      -14.31748996,      -13.84612338,      -14.62176269
          0,           0,         351,      -14.34192626,      -13.86941094,      -14.65232111
          0,           0,         352,       -14.3694543,      -13.89356224,      -14.66549887
          0,           0,         353,      -14.39924058,      -13.91978342,      -14.66992305
          0,           0,         354,       -14.4289178,      -13.94790643,      -14.68125614
          0,           0,         355,      -14.45616318,      -13.97644064,      -14.70898773
          0,           0,         356,      -14.48112643,      -14.00382261,      -14.74983761
          0,           0,         357,      -14.50655545,      -14.02983069,      -14.78965657
          0,           0,         358,      -14.53524141,      -14.05581045,      -14.81362273
          0,           0,         359,      -14.56781187,      -14.08366308,      -14.82099674
          0,           0,         360,      -14.60164257,      -14.11404181,      -14.82875435
          0,           0,         361,      -14.63245935,      -14.14544093,       -14.8543254
          0,           0,         362,       -14.6592135,      -14.17558306,      -14.89873737
          0,           0,         363,      -14.68593455,      -14.20381855,      -14.94524894
          0,           0,         364,      -14.71718747,      -14.23177885,      -14.97279532
          0,           0,         365,      -14.75394299,      -14.26200678,      -14.97840978
          0,           0,         366,      -14.79191326,      -14.29531528,      -14.98535991
          0,           0,         367,      -14.82485699,      -14.32956582,      -15.01607906
          0,           0,         368,       -14.8524085,      -14.36194279,      -15.06882297
          0,           0,         369,      -14.88126001,      -14.39208303,      -15.12004554
          0,           0,         370,      -14.91696134,      -14.42230424,      -15.14472144
          0,           0,         371,      -14.95920039,       -14.4556171,      -15.14550252
